Column1	Column2	Column3	Column4	Column5	Column6	Column7
"RES 2,E"	OCF(4)	OCF(4)				
"RES 2,H"	OCF(4)	OCF(4)				
"RES 2,L"	OCF(4)	OCF(4)				
"RES 3,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"RES 3,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 3,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 3,A"	OCF(4)	OCF(4)				
"RES 3,B"	OCF(4)	OCF(4)				
"RES 3,C"	OCF(4)	OCF(4)				
"RES 3,D"	OCF(4)	OCF(4)				
"RES 3,E"	OCF(4)	OCF(4)				
"RES 3,H"	OCF(4)	OCF(4)				
"RES 3,L"	OCF(4)	OCF(4)				
"RES 4,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"RES 4,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 4,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 4,A"	OCF(4)	OCF(4)				
"RES 4,B"	OCF(4)	OCF(4)				
"RES 4,C"	OCF(4)	OCF(4)				
"RES 4,D"	OCF(4)	OCF(4)				
"RES 4,E"	OCF(4)	OCF(4)				
"RES 4,H"	OCF(4)	OCF(4)				
"RES 4,L"	OCF(4)	OCF(4)				
"RES 5,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"RES 5,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 5,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 5,A"	OCF(4)	OCF(4)				
"RES 5,B"	OCF(4)	OCF(4)				
"RES 5,C"	OCF(4)	OCF(4)				
"RES 5,D"	OCF(4)	OCF(4)				
"RES 5,E"	OCF(4)	OCF(4)				
"RES 5,H"	OCF(4)	OCF(4)				
"RES 5,L"	OCF(4)	OCF(4)				
"RES 6,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"RES 6,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 6,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 6,A"	OCF(4)	OCF(4)				
"RES 6,B"	OCF(4)	OCF(4)				
"RES 6,C"	OCF(4)	OCF(4)				
"RES 6,D"	OCF(4)	OCF(4)				
"RES 6,E"	OCF(4)	OCF(4)				
"RES 6,H"	OCF(4)	OCF(4)				
"RES 6,L"	OCF(4)	OCF(4)				
"RES 7,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"RES 7,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 7,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"RES 7,A"	OCF(4)	OCF(4)				
"RES 7,B"	OCF(4)	OCF(4)				
"RES 7,C"	OCF(4)	OCF(4)				
"RES 7,D"	OCF(4)	OCF(4)				
"RES 7,E"	OCF(4)	OCF(4)				
"RES 7,H"	OCF(4)	OCF(4)				
"RES 7,L"	OCF(4)	OCF(4)				
RET	OCF(4)	SRL(3)	SRH(3)			
RET C	OCF(5)	SRL(3)*	SRH(3)*			
RET M	OCF(5)	SRL(3)*	SRH(3)*			
RET NC	OCF(5)	SRL(3)*	SRH(3)*			
RET NZ	OCF(5)	SRL(3)*	SRH(3)*			
RET P	OCF(5)	SRL(3)*	SRH(3)*			
RET PE	OCF(5)	SRL(3)*	SRH(3)*			
RET PO	OCF(5)	SRL(3)*	SRH(3)*			
RET Z	OCF(5)	SRL(3)*	SRH(3)*			
RETI	OCF(4)	OCF(4)	SRL(3)	SRH(3)		
RETN	OCF(4)	OCF(4)	SRL(3)	SRH(3)		
RL (HL)	OCF(4)	OCF(4)	MR(4)	MW(3)		
RL (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RL (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RL A	OCF(4)	OCF(4)				
RL B	OCF(4)	OCF(4)				
RL C	OCF(4)	OCF(4)				
RL D	OCF(4)	OCF(4)				
RL E	OCF(4)	OCF(4)				
RL H	OCF(4)	OCF(4)				
RL L	OCF(4)	OCF(4)				
RLA	OCF(4)					
RLC (HL)	OCF(4)	OCF(4)	MR(4)	MW(3)		
RLC (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RLC (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RLC A	OCF(4)	OCF(4)				
RLC B	OCF(4)	OCF(4)				
RLC C	OCF(4)	OCF(4)				
RLC D	OCF(4)	OCF(4)				
RLC E	OCF(4)	OCF(4)				
RLC H	OCF(4)	OCF(4)				
RLC L	OCF(4)	OCF(4)				
RLCA	OCF(4)					
RLD	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RR (HL)	OCF(4)	OCF(4)	MR(4)	MW(3)		
RR (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RR (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RR A	OCF(4)	OCF(4)				
RR B	OCF(4)	OCF(4)				
RR C	OCF(4)	OCF(4)				
RR D	OCF(4)	OCF(4)				
RR E	OCF(4)	OCF(4)				
RR H	OCF(4)	OCF(4)				
RR L	OCF(4)	OCF(4)				
RRA	OCF(4)					
RRC (HL)	OCF(4)	OCF(4)	MR(4)	MW(3)		
RRC (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RRC (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RRC A	OCF(4)	OCF(4)				
RRC B	OCF(4)	OCF(4)				
RRC C	OCF(4)	OCF(4)				
RRC D	OCF(4)	OCF(4)				
RRC E	OCF(4)	OCF(4)				
RRC H	OCF(4)	OCF(4)				
RRC L	OCF(4)	OCF(4)				
RRCA	OCF(4)					
RRD	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
RST 0	OCF(5)	SWH(3)	SWL(3)			
RST 10H	OCF(5)	SWH(3)	SWL(3)			
RST 18H	OCF(5)	SWH(3)	SWL(3)			
RST 20H	OCF(5)	SWH(3)	SWL(3)			
RST 28H	OCF(5)	SWH(3)	SWL(3)			
RST 30H	OCF(5)	SWH(3)	SWL(3)			
RST 38H	OCF(5)	SWH(3)	SWL(3)			
RST 8H	OCF(5)	SWH(3)	SWL(3)			
"SBC A,(HL)"	OCF(4)	MR(3)				
"SBC A,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"SBC A,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
"SBC A,A"	OCF(4)					
"SBC A,B"	OCF(4)					
"SBC A,C"	OCF(4)					
"SBC A,D"	OCF(4)					
"SBC A,E"	OCF(4)					
"SBC A,H"	OCF(4)					
"SBC A,IXh"	OCF(4)					
"SBC A,IXl"	OCF(4)					
"SBC A,IYh"	OCF(4)					
"SBC A,IYl"	OCF(4)					
"SBC A,L"	OCF(4)					
"SBC A,n"	OCF(4)	OR(3)				
"SBC HL,BC"	OCF(4)	OCF(4)	IO(4)	IO(3)		
"SBC HL,DE"	OCF(4)	OCF(4)	IO(4)	IO(3)		
"SBC HL,HL"	OCF(4)	OCF(4)	IO(4)	IO(3)		
"SBC HL,SP"	OCF(4)	OCF(4)	IO(4)	IO(3)		
SCF	OCF(4)					
"SET 0,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"SET 0,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 0,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 0,A"	OCF(4)	OCF(4)				
"SET 0,B"	OCF(4)	OCF(4)				
"SET 0,C"	OCF(4)	OCF(4)				
"SET 0,D"	OCF(4)	OCF(4)				
"SET 0,E"	OCF(4)	OCF(4)				
"SET 0,H"	OCF(4)	OCF(4)				
"SET 0,L"	OCF(4)	OCF(4)				
"SET 1,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"SET 1,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 1,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 1,A"	OCF(4)	OCF(4)				
"SET 1,B"	OCF(4)	OCF(4)				
"SET 1,C"	OCF(4)	OCF(4)				
"SET 1,D"	OCF(4)	OCF(4)				
"SET 1,E"	OCF(4)	OCF(4)				
"SET 1,H"	OCF(4)	OCF(4)				
"SET 1,L"	OCF(4)	OCF(4)				
"SET 2,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"SET 2,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 2,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 2,A"	OCF(4)	OCF(4)				
"SET 2,B"	OCF(4)	OCF(4)				
"SET 2,C"	OCF(4)	OCF(4)				
"SET 2,D"	OCF(4)	OCF(4)				
"SET 2,E"	OCF(4)	OCF(4)				
"SET 2,H"	OCF(4)	OCF(4)				
"SET 2,L"	OCF(4)	OCF(4)				
"SET 3,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"SET 3,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 3,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 3,A"	OCF(4)	OCF(4)				
"SET 3,B"	OCF(4)	OCF(4)				
"SET 3,C"	OCF(4)	OCF(4)				
"SET 3,D"	OCF(4)	OCF(4)				
"SET 3,E"	OCF(4)	OCF(4)				
"SET 3,H"	OCF(4)	OCF(4)				
"SET 3,L"	OCF(4)	OCF(4)				
"SET 4,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"SET 4,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 4,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 4,A"	OCF(4)	OCF(4)				
"SET 4,B"	OCF(4)	OCF(4)				
"SET 4,C"	OCF(4)	OCF(4)				
"SET 4,D"	OCF(4)	OCF(4)				
"SET 4,E"	OCF(4)	OCF(4)				
"SET 4,H"	OCF(4)	OCF(4)				
"SET 4,L"	OCF(4)	OCF(4)				
"SET 5,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"SET 5,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 5,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 5,A"	OCF(4)	OCF(4)				
"SET 5,B"	OCF(4)	OCF(4)				
"SET 5,C"	OCF(4)	OCF(4)				
"SET 5,D"	OCF(4)	OCF(4)				
"SET 5,E"	OCF(4)	OCF(4)				
"SET 5,H"	OCF(4)	OCF(4)				
"SET 5,L"	OCF(4)	OCF(4)				
"SET 6,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"SET 6,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 6,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 6,A"	OCF(4)	OCF(4)				
"SET 6,B"	OCF(4)	OCF(4)				
"SET 6,C"	OCF(4)	OCF(4)				
"SET 6,D"	OCF(4)	OCF(4)				
"SET 6,E"	OCF(4)	OCF(4)				
"SET 6,H"	OCF(4)	OCF(4)				
"SET 6,L"	OCF(4)	OCF(4)				
"SET 7,(HL)"	OCF(4)	OCF(4)	MR(4)	MW(3)		
"SET 7,(IX+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 7,(IY+o)"	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
"SET 7,A"	OCF(4)	OCF(4)				
"SET 7,B"	OCF(4)	OCF(4)				
"SET 7,C"	OCF(4)	OCF(4)				
"SET 7,D"	OCF(4)	OCF(4)				
"SET 7,E"	OCF(4)	OCF(4)				
"SET 7,H"	OCF(4)	OCF(4)				
"SET 7,L"	OCF(4)	OCF(4)				
SLA (HL)	OCF(4)	OCF(4)	MR(4)	MW(3)		
SLA (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
SLA (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
SLA A	OCF(4)	OCF(4)				
SLA B	OCF(4)	OCF(4)				
SLA C	OCF(4)	OCF(4)				
SLA D	OCF(4)	OCF(4)				
SLA E	OCF(4)	OCF(4)				
SLA H	OCF(4)	OCF(4)				
SLA L	OCF(4)	OCF(4)				
SLL (HL)	OCF(4)	OCF(4)	MR(4)	MW(3)		
SLL A	OCF(4)	OCF(4)				
SLL B	OCF(4)	OCF(4)				
SLL C	OCF(4)	OCF(4)				
SLL D	OCF(4)	OCF(4)				
SLL E	OCF(4)	OCF(4)				
SLL H	OCF(4)	OCF(4)				
SLL L	OCF(4)	OCF(4)				
SRA (HL)	OCF(4)	OCF(4)	MR(4)	MW(3)		
SRA (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
SRA (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
SRA A	OCF(4)	OCF(4)				
SRA B	OCF(4)	OCF(4)				
SRA C	OCF(4)	OCF(4)				
SRA D	OCF(4)	OCF(4)				
SRA E	OCF(4)	OCF(4)				
SRA H	OCF(4)	OCF(4)				
SRA L	OCF(4)	OCF(4)				
SRL (HL)	OCF(4)	OCF(4)	MR(4)	MW(3)		
SRL (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
SRL (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(4)	MW(3)
SRL A	OCF(4)	OCF(4)				
SRL B	OCF(4)	OCF(4)				
SRL C	OCF(4)	OCF(4)				
SRL D	OCF(4)	OCF(4)				
SRL E	OCF(4)	OCF(4)				
SRL H	OCF(4)	OCF(4)				
SRL L	OCF(4)	OCF(4)				
SUB (HL)	OCF(4)	MR(3)				
SUB (IX+o)	OCF(4)	OCF(4)	MR(3)			
SUB (IY+o)	OCF(4)	OCF(4)	MR(3)			
SUB A	OCF(4)					
SUB B	OCF(4)					
SUB C	OCF(4)					
SUB D	OCF(4)					
SUB E	OCF(4)					
SUB H	OCF(4)					
SUB IXh	OCF(4)					
SUB IXl	OCF(4)					
SUB IYh	OCF(4)					
SUB IYl	OCF(4)					
SUB L	OCF(4)					
SUB n	OCF(4)	OD(3)				
XOR (HL)	OCF(4)	MR(3)				
XOR (IX+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
XOR (IY+o)	OCF(4)	OCF(4)	OD(3)	IO(5)	MR(3)	
XOR A	OCF(4)					
XOR B	OCF(4)					
XOR C	OCF(4)					
XOR D	OCF(4)					
XOR E	OCF(4)					
XOR H	OCF(4)					
XOR IXh	OCF(4)					
XOR IXl	OCF(4)					
XOR IYh	OCF(4)					
XOR IYl	OCF(4)					
XOR L	OCF(4)					
XOR n	OCF(4)	OD(3)				
